Project Name,Package Name,Architecture Smell,Cause of the Smell
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.TeamEnigma.cognito.features
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CheckAttendance]; [CreatingAttendanceSheets]; [creatingIDPass]; [DisplayAttendance]; [IdCheck]; [IdPassReader]; [IdPassWritter]; [MatchResult; Recognito; Tester; VoicePrint]; [ModifyPassWord]; [Record]. LCC (Lack of Component Cohesion) = 0.77
